phase,lever,scenario,metric,median,iters,batt_pct,ambient_cpu_pct
ac,baseline,RESP,p95_ms,0.065,"0.065,0.060,0.060,0.069,0.066",58,1.6
ac,baseline,RESP,p99_ms,0.123,"0.128,0.061,0.066,0.123,0.182",58,1.6
ac,baseline,POWER,pkg_watts,16.47,"16.22,16.59,16.37,16.47,16.60",59,1.6
ac,baseline,POWER,work_units,797000000,"812000000,771000000,797000000,763000000,1269000000",59,1.6
ac,baseline,POWER,work_per_joule,4056521.75,"4171381.75,3873241.34,4056521.75,3861586.16,6372280.43",59,1.6
ac,epp,RESP,p95_ms,0.070,"0.075,0.075,0.060,0.069,0.070",60,1.6
ac,epp,RESP,p99_ms,0.128,"0.194,0.233,0.063,0.083,0.128",60,1.6
ac,epp,POWER,pkg_watts,16.18,"16.25,16.18,16.10,15.97,16.36",61,1.6
ac,epp,POWER,work_units,789000000,"788000000,779000000,809000000,832000000,789000000",61,1.6
ac,epp,POWER,work_per_joule,4040155.85,"4040155.85,4012179.62,4186438.06,4341216.15,4019827.36",61,1.6
ac,weight,RESP,p95_ms,0.061,"0.061,0.061,0.061,0.089,0.072",62,1.6
ac,weight,RESP,p99_ms,0.098,"0.079,0.098,0.076,0.245,0.257",62,1.6
ac,weight,POWER,pkg_watts,16.49,"16.66,16.42,16.72,16.43,16.49",63,1.6
ac,weight,POWER,work_units,748000000,"785000000,790000000,748000000,748000000,741000000",63,1.6
ac,weight,POWER,work_per_joule,3794745.48,"3925772.00,4009440.82,3728744.13,3794745.48,3744596.98",63,1.6
ac,optid-performance,RESP,p95_ms,0.061,"0.060,0.127,0.175,0.061,0.058",64,1.6
ac,optid-performance,RESP,p99_ms,0.337,"0.337,1.450,1.841,0.089,0.061",64,1.6
ac,optid-performance,POWER,pkg_watts,30.12,"30.16,30.14,30.09,30.08,30.12",65,1.6
ac,optid-performance,POWER,work_units,1514000000,"1514000000,1549000000,1507000000,1554000000,1231000000",65,1.6
ac,optid-performance,POWER,work_per_joule,4183762.42,"4183762.42,4283481.24,4173281.97,4305868.96,3405322.67",65,1.6
ac,optid-battery,RESP,p95_ms,0.067,"0.060,0.071,0.078,0.064,0.067",66,1.6
ac,optid-battery,RESP,p99_ms,0.085,"0.067,0.143,0.160,0.079,0.085",66,1.6
ac,optid-battery,POWER,pkg_watts,16.21,"16.19,16.27,16.20,16.25,16.21",67,1.6
ac,optid-battery,POWER,work_units,807000000,"767000000,792000000,820000000,807000000,812000000",67,1.6
ac,optid-battery,POWER,work_per_joule,4138360.73,"3947309.60,4057593.98,4218469.56,4138360.73,4174803.48",67,1.6
bat,baseline,RESP,p95_ms,0.070,"0.067,0.066,0.070,0.080,0.076",66,3.1
bat,baseline,RESP,p99_ms,0.260,"0.086,0.718,0.651,0.229,0.260",66,3.1
bat,baseline,POWER,pkg_watts,16.26,"16.18,16.26,16.35,16.34,16.25",65,3.1
bat,baseline,POWER,work_units,815000000,"825000000,815000000,788000000,795000000,836000000",65,3.1
bat,baseline,POWER,work_per_joule,4176770.78,"4249422.36,4176770.78,4015353.10,4053957.70,4286875.14",65,3.1
bat,epp,RESP,p95_ms,0.065,"0.065,0.076,0.079,0.061,0.062",64,3.1
bat,epp,RESP,p99_ms,0.095,"0.081,0.134,0.182,0.095,0.070",64,3.1
bat,epp,POWER,pkg_watts,16.09,"15.96,16.09,15.99,16.36,16.45",62,3.1
bat,epp,POWER,work_units,791000000,"820000000,791000000,793000000,760000000,720000000",62,3.1
bat,epp,POWER,work_per_joule,4096751.11,"4280977.44,4096751.11,4133855.06,3871442.61,3647606.87",62,3.1
bat,weight,RESP,p95_ms,0.066,"0.061,0.068,0.061,0.091,0.066",61,3.1
bat,weight,RESP,p99_ms,0.116,"0.065,0.116,0.062,0.471,0.117",61,3.1
bat,weight,POWER,pkg_watts,16.38,"16.37,16.53,16.75,16.38,16.01",60,3.1
bat,weight,POWER,work_units,712000000,"792000000,746000000,685000000,712000000,711000000",60,3.1
bat,weight,POWER,work_per_joule,3700601.71,"4031431.24,3759855.00,3407864.41,3622771.91,3700601.71",60,3.1
bat,optid-performance,RESP,p95_ms,0.069,"0.058,0.069,0.082,0.071,0.061",58,3.1
bat,optid-performance,RESP,p99_ms,0.172,"0.069,0.205,0.365,0.172,0.068",58,3.1
bat,optid-performance,POWER,pkg_watts,25.08,"25.11,25.10,25.07,25.04,25.08",56,3.1
bat,optid-performance,POWER,work_units,1199000000,"1199000000,1212000000,1193000000,1193000000,1208000000",56,3.1
bat,optid-performance,POWER,work_per_joule,3978722.77,"3978722.77,4023916.15,3965366.13,3970334.26,4013989.52",56,3.1
bat,optid-battery,RESP,p95_ms,0.085,"0.095,0.081,0.069,0.088,0.085",55,3.1
bat,optid-battery,RESP,p99_ms,0.507,"0.968,0.288,0.110,0.536,0.507",55,3.1
bat,optid-battery,POWER,pkg_watts,16.42,"17.21,17.31,16.17,16.01,16.42",53,3.1
bat,optid-battery,POWER,work_units,763000000,"663000000,671000000,763000000,823000000,772000000",53,3.1
bat,optid-battery,POWER,work_per_joule,3917960.27,"3209536.88,3229533.98,3931950.74,4283374.28,3917960.27",53,3.1
