phase,lever,scenario,metric,median,iters,batt_pct,ambient_cpu_pct
ac,baseline,RESP,p95_ms,0.060,"0.073,0.060,0.060",100,3.8
ac,baseline,RESP,p99_ms,0.064,"0.279,0.064,0.062",100,3.8
ac,baseline,POWER,pkg_watts,15.69,"15.65,15.69,15.75",100,3.8
ac,baseline,POWER,work_units,783000000,"792000000,783000000,766000000",100,3.8
ac,baseline,POWER,work_per_joule,4159205.99,"4216822.18,4159205.99,4052096.03",100,3.8
ac,epp,RESP,p95_ms,0.064,"0.064,0.069,0.060",100,3.8
ac,epp,RESP,p99_ms,0.080,"0.080,0.085,0.064",100,3.8
ac,epp,POWER,pkg_watts,15.80,"16.32,15.80,15.51",100,3.8
ac,epp,POWER,work_units,783000000,"762000000,783000000,801000000",100,3.8
ac,epp,POWER,work_per_joule,4128844.83,"3890117.59,4128844.83,4302544.72",100,3.8
ac,weight,RESP,p95_ms,0.060,"0.060,0.060,0.067",100,3.8
ac,weight,RESP,p99_ms,0.072,"0.072,0.061,0.162",100,3.8
ac,weight,POWER,pkg_watts,15.43,"16.37,15.43,15.34",100,3.8
ac,weight,POWER,work_units,769000000,"727000000,769000000,797000000",100,3.8
ac,weight,POWER,work_per_joule,4152134.49,"3699821.67,4152134.49,4330580.43",100,3.8
ac,optid-performance,RESP,p95_ms,0.062,"0.055,0.062,0.064",100,3.8
ac,optid-performance,RESP,p99_ms,0.123,"0.062,0.123,0.145",100,3.8
ac,optid-performance,POWER,pkg_watts,30.08,"30.09,30.07,30.08",100,3.8
ac,optid-performance,POWER,work_units,1560000000,"1522000000,1560000000,1576000000",100,3.8
ac,optid-performance,POWER,work_per_joule,4323247.01,"4215340.35,4323247.01,4366318.44",100,3.8
ac,optid-battery,RESP,p95_ms,0.062,"0.063,0.061,0.062",100,3.8
ac,optid-battery,RESP,p99_ms,0.079,"0.126,0.074,0.079",100,3.8
ac,optid-battery,POWER,pkg_watts,15.68,"15.36,15.68,16.19",100,3.8
ac,optid-battery,POWER,work_units,749000000,"775000000,749000000,709000000",100,3.8
ac,optid-battery,POWER,work_per_joule,3980475.73,"4203648.29,3980475.73,3649081.62",100,3.8
bat,baseline,RESP,p95_ms,0.066,"0.066,0.072,0.063",100,1.8
bat,baseline,RESP,p99_ms,0.078,"0.078,0.131,0.071",100,1.8
bat,baseline,POWER,pkg_watts,16.00,"15.86,16.00,16.02",100,1.8
bat,baseline,POWER,work_units,751000000,"751000000,745000000,762000000",100,1.8
bat,baseline,POWER,work_per_joule,3946237.39,"3946237.39,3880927.66,3964973.82",100,1.8
bat,epp,RESP,p95_ms,0.068,"0.073,0.065,0.068",100,1.8
bat,epp,RESP,p99_ms,0.279,"0.475,0.220,0.279",100,1.8
bat,epp,POWER,pkg_watts,15.18,"15.18,15.08,15.40",100,1.8
bat,epp,POWER,work_units,758000000,"766000000,758000000,735000000",100,1.8
bat,epp,POWER,work_per_joule,4189609.29,"4203950.75,4189609.29,3977699.64",100,1.8
bat,weight,RESP,p95_ms,0.070,"0.069,0.076,0.070",100,1.8
bat,weight,RESP,p99_ms,0.294,"0.139,0.545,0.294",100,1.8
bat,weight,POWER,pkg_watts,15.43,"15.43,15.38,15.46",100,1.8
bat,weight,POWER,work_units,752000000,"752000000,757000000,748000000",100,1.8
bat,weight,POWER,work_per_joule,4062119.86,"4062119.86,4101740.46,4033126.33",100,1.8
bat,optid-performance,RESP,p95_ms,0.073,"0.079,0.073,0.065",94,1.8
bat,optid-performance,RESP,p99_ms,0.364,"0.364,0.439,0.117",94,1.8
bat,optid-performance,POWER,pkg_watts,25.06,"25.03,25.06,25.08",93,1.8
bat,optid-performance,POWER,work_units,1322000000,"1356000000,1314000000,1322000000",93,1.8
bat,optid-performance,POWER,work_per_joule,4393252.03,"4514439.23,4369240.12,4393252.03",93,1.8
bat,optid-battery,RESP,p95_ms,0.074,"0.079,0.071,0.074",93,1.8
bat,optid-battery,RESP,p99_ms,0.212,"0.361,0.212,0.181",93,1.8
bat,optid-battery,POWER,pkg_watts,15.40,"16.00,15.40,15.24",92,1.8
bat,optid-battery,POWER,work_units,729000000,"703000000,729000000,739000000",92,1.8
bat,optid-battery,POWER,work_per_joule,3944883.30,"3661663.27,3944883.30,4040788.65",92,1.8
